district_id,district_name,count_schools,count_students,count_students_12,sat_participation,act_participation,pct_urm
0161176,Fremont Unified,42,35176,2537,0.33,0.2,0.16
0161275,Piedmont City Unified,6,2596,231,0.34,0.5,0.1
0161291,San Leandro Unified,12,8926,754,0.26,0.1,0.61
1062166,Fresno Unified,105,70749,4593,0.23,0.12,0.78
1075127,Mendota Unified,7,3543,234,0.29,0.35,0.97
1363107,Calipatria Unified,4,1136,91,0.3,0.21,0.9
1563859,Wasco Union High,2,1867,453,0.41,0.16,0.96
1964584,Gorman Joint,2,82,113,0.22,0.09,0.38
1964774,Lynwood Unified,19,13802,1072,0.27,0.15,0.99
1965128,Whittier Union High,7,11404,3048,0.4,0.13,0.9
1973452,Rowland Unified,21,13249,1186,0.33,0.1,0.67
2165482,Tamalpais Union High,5,5043,1233,0.35,0.33,0.15
2365581,Mendocino Unified,6,536,52,0.33,0.15,0.15
3610363,San Bernardino County Office of Education,6,2033,673,0.11,0.02,0.74
3667652,Chaffey Joint Union High,11,23883,6046,0.4,0.13,0.72
3675077,Apple Valley Unified,14,13196,1086,0.29,0.08,0.58
3768031,Coronado Unified,4,3057,294,0.52,0.44,0.22
3768130,Grossmont Union High,17,16760,5541,0.27,0.17,0.45
3975499,Tracy Joint Unified,22,14621,1515,0.32,0.11,0.58
4269112,Blochman Union Elementary,5,212,71,0.08,0.07,0.53
4310439,Santa Clara County Office of Education,25,1384,915,0.14,0.11,0.52
4373387,Milpitas Unified,14,10172,829,0.4,0.09,0.22
4469823,Santa Cruz City High,9,4494,862,0.33,0.21,0.4
5075572,Waterford Unified,6,1812,359,0.18,0.02,0.67
5271639,Red Bluff Joint Union High,2,1643,372,0.12,0.41,0.35
5575184,Big Oak Flat-Groveland Unified,3,304,32,0.44,0.0,0.21
0161200,Livermore Valley Joint Unified,18,13738,1128,0.28,0.22,0.33
0961838,Buckeye Union Elementary,12,4049,25,0.0,0.0,0.17
0961853,El Dorado Union High,6,6629,1609,0.33,0.25,0.18
1075275,Sierra Unified,5,1271,103,0.27,0.14,0.32
1275515,Eureka City Schools,10,3643,347,0.17,0.07,0.32
1363149,Holtville Unified,6,1578,151,0.34,0.19,0.88
